plateID,well,cmpdname,CONCuM,cmpdnum
plate_1,F04,Adavosertib,10,Adavosertib_ 10
plate_1,F05,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,F06,Niraparib,10,Niraparib_ 10
plate_1,F07,DMSO,0,DMSO_ 0
plate_1,F08,Carboplatin,1,Carboplatin_ 1
plate_1,F09,DMSO,0,DMSO_ 0
plate_1,F10,DMSO,0,DMSO_ 0
plate_1,F11,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,F12,Rucaparib,10,Rucaparib_ 10
plate_1,F13,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,F14,Adavosertib,1,Adavosertib_ 1
plate_1,F15,Topotecan,0.1,Topotecan_ 0.1
plate_1,F16,Paclitaxel,1,Paclitaxel_ 1
plate_1,F17,Olaparib,10,Olaparib_ 10
plate_1,F18,Topotecan,1,Topotecan_ 1
plate_1,F19,Trametinib,0.1,Trametinib_ 0.1
plate_1,F20,Topotecan,0.1,Topotecan_ 0.1
plate_1,F21,Berzosertib,10,Berzosertib_ 10
plate_1,F22,Topotecan,1,Topotecan_ 1
plate_1,F23,Adavosertib,10,Adavosertib_ 10
plate_1,G02,Trametinib,0.1,Trametinib_ 0.1
plate_1,G03,Veliparib,10,Veliparib_ 10
plate_1,G04,Doxorubicin,10,Doxorubicin_ 10
plate_1,G05,Niraparib,1,Niraparib_ 1
plate_1,G06,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,G07,Carboplatin,1,Carboplatin_ 1
plate_1,G08,Niraparib,0.1,Niraparib_ 0.1
plate_1,G09,Doxorubicin,1,Doxorubicin_ 1
plate_1,G10,Paclitaxel,10,Paclitaxel_ 10
plate_1,G11,Topotecan,0.1,Topotecan_ 0.1
plate_1,G12,Gemcitabine,10,Gemcitabine_ 10
plate_1,G13,Berzosertib,1,Berzosertib_ 1
plate_1,G14,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,G15,Adavosertib,10,Adavosertib_ 10
plate_1,G16,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,G17,Berzosertib,10,Berzosertib_ 10
plate_1,G18,Topotecan,10,Topotecan_ 10
plate_1,G19,Gemcitabine,10,Gemcitabine_ 10
plate_1,G20,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,G21,Cisplatin,10,Cisplatin_ 10
plate_1,G22,Olaparib,0.1,Olaparib_ 0.1
plate_1,G23,Palbociclib,1,Palbociclib_ 1
plate_1,H02,Paclitaxel,10,Paclitaxel_ 10
plate_1,H03,Doxorubicin,10,Doxorubicin_ 10
plate_1,H04,Trametinib,1,Trametinib_ 1
plate_1,H05,Niraparib,1,Niraparib_ 1
plate_1,H06,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,H07,DMSO,0,DMSO_ 0
plate_1,H08,Doxorubicin,10,Doxorubicin_ 10
plate_1,H09,Niraparib,0.1,Niraparib_ 0.1
plate_1,H10,Niraparib,10,Niraparib_ 10
plate_1,H11,Olaparib,1,Olaparib_ 1
plate_1,H12,Palbociclib,1,Palbociclib_ 1
plate_1,H13,Topotecan,1,Topotecan_ 1
plate_1,H14,Rucaparib,1,Rucaparib_ 1
plate_1,H15,Paclitaxel,1,Paclitaxel_ 1
plate_1,H16,Rucaparib,10,Rucaparib_ 10
plate_1,H17,Doxorubicin,1,Doxorubicin_ 1
plate_1,H18,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,H19,Olaparib,0.1,Olaparib_ 0.1
plate_1,H20,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,H21,Olaparib,0.1,Olaparib_ 0.1
plate_1,H22,Trametinib,1,Trametinib_ 1
plate_1,H23,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,I02,Berzosertib,10,Berzosertib_ 10
plate_1,I03,Trametinib,0.1,Trametinib_ 0.1
plate_1,I04,DMSO,0,DMSO_ 0
plate_1,I05,Doxorubicin,1,Doxorubicin_ 1
plate_1,I06,Rucaparib,1,Rucaparib_ 1
plate_1,I07,Topotecan,0.1,Topotecan_ 0.1
plate_1,I08,Veliparib,10,Veliparib_ 10
plate_1,I09,Veliparib,0.1,Veliparib_ 0.1
plate_1,I10,Carboplatin,1,Carboplatin_ 1
plate_1,I11,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,I12,Olaparib,10,Olaparib_ 10
plate_1,I13,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,I14,Trametinib,10,Trametinib_ 10
plate_1,I15,Trametinib,0.1,Trametinib_ 0.1
plate_1,I16,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,I17,Adavosertib,10,Adavosertib_ 10
plate_1,I18,Trametinib,1,Trametinib_ 1
plate_1,I19,Veliparib,10,Veliparib_ 10
plate_1,I20,Niraparib,0.1,Niraparib_ 0.1
plate_1,I21,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,I22,Berzosertib,1,Berzosertib_ 1
plate_1,I23,Trametinib,0.1,Trametinib_ 0.1
plate_1,J02,Niraparib,1,Niraparib_ 1
plate_1,J03,Carboplatin,10,Carboplatin_ 10
plate_1,J04,Carboplatin,1,Carboplatin_ 1
plate_1,J05,DMSO,0,DMSO_ 0
plate_1,J06,Trametinib,1,Trametinib_ 1
plate_1,J07,Olaparib,0.1,Olaparib_ 0.1
plate_1,J08,Olaparib,0.1,Olaparib_ 0.1
plate_1,J09,Veliparib,0.1,Veliparib_ 0.1
plate_1,J10,Adavosertib,1,Adavosertib_ 1
plate_1,J11,Topotecan,1,Topotecan_ 1
plate_1,J12,Palbociclib,10,Palbociclib_ 10
plate_1,J13,Veliparib,0.1,Veliparib_ 0.1
plate_1,J14,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,J15,Niraparib,0.1,Niraparib_ 0.1
plate_1,J16,Adavosertib,1,Adavosertib_ 1
plate_1,J17,Olaparib,1,Olaparib_ 1
plate_1,J18,Olaparib,10,Olaparib_ 10
plate_1,J19,Veliparib,0.1,Veliparib_ 0.1
plate_1,J20,Trametinib,10,Trametinib_ 10
plate_1,J21,Trametinib,1,Trametinib_ 1
plate_1,J22,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,J23,Carboplatin,10,Carboplatin_ 10
plate_1,K02,Gemcitabine,1,Gemcitabine_ 1
plate_1,K03,Niraparib,10,Niraparib_ 10
plate_1,K04,Palbociclib,10,Palbociclib_ 10
plate_1,K05,Olaparib,0.1,Olaparib_ 0.1
plate_1,K06,Niraparib,10,Niraparib_ 10
plate_1,K07,Veliparib,10,Veliparib_ 10
plate_1,K08,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,K09,Trametinib,10,Trametinib_ 10
plate_1,K10,Olaparib,10,Olaparib_ 10
plate_1,K11,Paclitaxel,1,Paclitaxel_ 1
plate_1,K12,DMSO,0,DMSO_ 0
plate_1,K13,Berzosertib,1,Berzosertib_ 1
plate_1,K14,Topotecan,10,Topotecan_ 10
plate_1,K15,Doxorubicin,10,Doxorubicin_ 10
plate_1,K16,Veliparib,10,Veliparib_ 10
plate_1,K17,Cisplatin,1,Cisplatin_ 1
plate_1,K18,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,K19,Paclitaxel,10,Paclitaxel_ 10
plate_1,K20,Cisplatin,10,Cisplatin_ 10
plate_1,K21,Veliparib,1,Veliparib_ 1
plate_1,K22,Veliparib,1,Veliparib_ 1
plate_1,K23,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,L02,Doxorubicin,10,Doxorubicin_ 10
plate_1,L03,Rucaparib,1,Rucaparib_ 1
plate_1,L04,Paclitaxel,10,Paclitaxel_ 10
plate_1,L05,Palbociclib,10,Palbociclib_ 10
plate_1,L06,Trametinib,10,Trametinib_ 10
plate_1,L07,Niraparib,10,Niraparib_ 10
plate_1,L08,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,L09,Trametinib,0.1,Trametinib_ 0.1
plate_1,L10,Gemcitabine,1,Gemcitabine_ 1
plate_1,L11,Berzosertib,10,Berzosertib_ 10
plate_1,L12,Paclitaxel,10,Paclitaxel_ 10
plate_1,L13,Rucaparib,10,Rucaparib_ 10
plate_1,L14,Olaparib,1,Olaparib_ 1
plate_1,L15,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,L16,Berzosertib,10,Berzosertib_ 10
plate_1,L17,Niraparib,1,Niraparib_ 1
plate_1,L18,Cisplatin,10,Cisplatin_ 10
plate_1,L19,Niraparib,10,Niraparib_ 10
plate_1,L20,Palbociclib,1,Palbociclib_ 1
plate_1,L21,Berzosertib,1,Berzosertib_ 1
plate_1,L22,Rucaparib,1,Rucaparib_ 1
plate_1,L23,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,M02,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,M03,Paclitaxel,1,Paclitaxel_ 1
plate_1,M04,Topotecan,0.1,Topotecan_ 0.1
plate_1,M05,Topotecan,1,Topotecan_ 1
plate_1,M06,Carboplatin,10,Carboplatin_ 10
plate_1,M07,Topotecan,1,Topotecan_ 1
plate_1,M08,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,M09,Niraparib,10,Niraparib_ 10
plate_1,M10,Palbociclib,10,Palbociclib_ 10
plate_1,M11,DMSO,0,DMSO_ 0
plate_1,M12,Topotecan,1,Topotecan_ 1
plate_1,M13,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,M14,Adavosertib,1,Adavosertib_ 1
plate_1,M15,Palbociclib,10,Palbociclib_ 10
plate_1,M16,Trametinib,1,Trametinib_ 1
plate_1,M17,Niraparib,0.1,Niraparib_ 0.1
plate_1,M18,Gemcitabine,1,Gemcitabine_ 1
plate_1,M19,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,M20,Carboplatin,10,Carboplatin_ 10
plate_1,M21,Topotecan,10,Topotecan_ 10
plate_1,M22,Rucaparib,10,Rucaparib_ 10
plate_1,M23,Niraparib,0.1,Niraparib_ 0.1
plate_1,N02,Carboplatin,10,Carboplatin_ 10
plate_1,N03,Veliparib,0.1,Veliparib_ 0.1
plate_1,N04,Doxorubicin,0.1,Doxorubicin_ 0.1
plate_1,N05,Berzosertib,0.1,Berzosertib_ 0.1
plate_1,N06,Carboplatin,0.1,Carboplatin_ 0.1
plate_1,N07,Olaparib,1,Olaparib_ 1
plate_1,N08,Rucaparib,1,Rucaparib_ 1
plate_1,N09,Rucaparib,10,Rucaparib_ 10
plate_1,N10,Paclitaxel,1,Paclitaxel_ 1
plate_1,N11,Veliparib,0.1,Veliparib_ 0.1
plate_1,N12,DMSO,0,DMSO_ 0
plate_1,N13,DMSO,0,DMSO_ 0
plate_1,N14,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,N15,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,N16,Doxorubicin,10,Doxorubicin_ 10
plate_1,N17,Palbociclib,1,Palbociclib_ 1
plate_1,N18,Rucaparib,0.1,Rucaparib_ 0.1
plate_1,N19,DMSO,0,DMSO_ 0
plate_1,N20,Doxorubicin,10,Doxorubicin_ 10
plate_1,N21,Cisplatin,0.1,Cisplatin_ 0.1
plate_1,N22,Olaparib,10,Olaparib_ 10
plate_1,N23,Adavosertib,10,Adavosertib_ 10
plate_1,O02,Gemcitabine,1,Gemcitabine_ 1
plate_1,O03,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,O04,DMSO,0,DMSO_ 0
plate_1,O05,Topotecan,10,Topotecan_ 10
plate_1,O06,Palbociclib,10,Palbociclib_ 10
plate_1,O07,Cisplatin,1,Cisplatin_ 1
plate_1,O08,Trametinib,0.1,Trametinib_ 0.1
plate_1,O09,Gemcitabine,10,Gemcitabine_ 10
plate_1,O10,Gemcitabine,0.1,Gemcitabine_ 0.1
plate_1,O11,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,O12,Cisplatin,10,Cisplatin_ 10
plate_1,O13,Cisplatin,10,Cisplatin_ 10
plate_1,O14,Adavosertib,0.1,Adavosertib_ 0.1
plate_1,O15,Paclitaxel,0.1,Paclitaxel_ 0.1
plate_1,O16,Palbociclib,0.1,Palbociclib_ 0.1
plate_1,O17,Paclitaxel,1,Paclitaxel_ 1
plate_1,O18,Doxorubicin,1,Doxorubicin_ 1
plate_1,O19,Gemcitabine,1,Gemcitabine_ 1
plate_1,O20,Gemcitabine,10,Gemcitabine_ 10
plate_1,O21,Olaparib,10,Olaparib_ 10
plate_1,O22,Cisplatin,1,Cisplatin_ 1
plate_1,O23,Paclitaxel,10,Paclitaxel_ 10
